"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
13734, 3.516005248740000e-01, 6.543308020310000e-03, 4.676968367811797e+05, -6.506759776909481e-01, -5.695148877980469e-04, -3.288399509143922e-04
13735, 3.521203750140000e-01, 6.842176440310000e-03, 4.680731170452404e+05, -6.492550140584199e-01, -5.696983323296963e-04, -3.285731517373395e-04
13736, 3.526394228130000e-01, 7.142491747520000e-03, 4.683907079250078e+05, -6.480556817168777e-01, -5.644257224147735e-04, -3.303882035929402e-04
13737, 3.531554271320000e-01, 7.448047144480000e-03, 4.685282576198652e+05, -6.475362467830640e-01, -5.562449382595278e-04, -3.344101009298358e-04
13738, 3.536673306480000e-01, 7.760461888380000e-03, 4.685293888879683e+05, -6.475319747258059e-01, -5.540331494229146e-04, -3.424400419719871e-04
13739, 3.541756824370000e-01, 8.078652496940000e-03, 4.684963961543317e+05, -6.476565666300674e-01, -5.576617849983652e-04, -3.525148885389944e-04
13740, 3.546811940770000e-01, 8.401355640260001e-03, 4.684202640482712e+05, -6.479440676348032e-01, -5.621176841362258e-04, -3.609882293670582e-04
13741, 3.551849525410000e-01, 8.726799029380001e-03, 4.684183222412130e+05, -6.479514005657981e-01, -5.812564371130318e-04, -3.759481443007721e-04
13742, 3.556883640320000e-01, 9.052778405500001e-03, 4.685281186977999e+05, -6.475367714005407e-01, -6.025713235543274e-04, -3.890455604017604e-04
13743, 3.561926417430000e-01, 9.377405845500000e-03, 4.689230334383773e+05, -6.460454375786335e-01, -6.038422444379442e-04, -3.886435402805390e-04
13744, 3.566969703560000e-01, 9.701935260819999e-03, 4.693863777408382e+05, -6.442956902067390e-01, -6.014918543903650e-04, -3.895167931002097e-04
13745, 3.571993996080000e-01, 1.002936661960000e-02, 4.696925219809250e+05, -6.431395843116895e-01, -5.970007761052163e-04, -3.930198971517720e-04
