"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
13734, 3.516005248740000e-01, 6.543308020310000e-03, 6.575650148195093e+05, 6.633153435683332e-02, 6.251901841430394e-04, 3.609870678897149e-04
13735, 3.521203750140000e-01, 6.842176440310000e-03, 6.566261027483341e+05, 6.278587960235876e-02, 5.996029938117278e-04, 3.458206462746815e-04
13736, 3.526394228130000e-01, 7.142491747520000e-03, 6.560818886895549e+05, 6.073074022967299e-02, 5.957139680840773e-04, 3.487028672762858e-04
13737, 3.531554271320000e-01, 7.448047144480000e-03, 6.554217130841260e+05, 5.823769019225369e-02, 5.992793436558491e-04, 3.602820484518550e-04
13738, 3.536673306480000e-01, 7.760461888380000e-03, 6.543301203932291e+05, 5.411546093005707e-02, 6.125955288521635e-04, 3.786366191815277e-04
13739, 3.541756824370000e-01, 8.078652496940000e-03, 6.527578144457664e+05, 4.817789315426813e-02, 6.258040338921498e-04, 3.955896659753921e-04
13740, 3.546811940770000e-01, 8.401355640260001e-03, 6.509534165463598e+05, 4.136386638072106e-02, 6.334895794997688e-04, 4.068227847652700e-04
13741, 3.551849525410000e-01, 8.726799029380001e-03, 6.490949608671592e+05, 3.434569884700363e-02, 6.478172524559940e-04, 4.189987041115479e-04
13742, 3.556883640320000e-01, 9.052778405500001e-03, 6.474649391755626e+05, 2.819017658018304e-02, 6.647324200416189e-04, 4.291793963026084e-04
13743, 3.561926417430000e-01, 9.377405845500000e-03, 6.460232873808999e+05, 2.274600380088957e-02, 6.585146928389735e-04, 4.238316943027189e-04
13744, 3.566969703560000e-01, 9.701935260819999e-03, 6.451437532414400e+05, 1.942458052917168e-02, 6.479938510054266e-04, 4.196307646561739e-04
13745, 3.571993996080000e-01, 1.002936661960000e-02, 6.442868879214223e+05, 1.618876251262150e-02, 6.519717150155965e-04, 4.292085816922530e-04
13746, 3.576987534570000e-01, 1.036143304890000e-02, 6.430046449814596e+05, 1.134657236932188e-02, 6.616877273158477e-04, 4.436340605621315e-04
13747, 3.581955622810000e-01, 1.069725219970000e-02, 6.413043038692983e+05, 4.925499796448688e-03, 6.715690135245815e-04, 4.564815782443968e-04
13748, 3.586906046700000e-01, 1.103561812590000e-02, 6.394737790496168e+05, -1.987191209816784e-03, 6.761783736177405e-04, 4.634008755415023e-04
13749, 3.591847809890000e-01, 1.137518694780000e-02, 6.377304030421788e+05, -8.570778341539955e-03, 6.909955793418873e-04, 4.746190302457006e-04
13750, 3.596790530120000e-01, 1.171454633840000e-02, 6.362060137081358e+05, -1.432739651256234e-02, 6.985681591667813e-04, 4.788274477866189e-04
13751, 3.601738152760000e-01, 1.205311186780000e-02, 6.349519606995700e+05, -1.906313178393718e-02, 6.909112496105419e-04, 4.731072370256918e-04
13752, 3.606683250080000e-01, 1.239195858340000e-02, 6.339370497733802e+05, -2.289578434138993e-02, 6.856452552959906e-04, 4.714319986999102e-04
13753, 3.611617014700000e-01, 1.273235694290000e-02, 6.330059097512099e+05, -2.641208916699182e-02, 6.840407536471403e-04, 4.746262779731812e-04
13754, 3.616532171980000e-01, 1.307533265410000e-02, 6.319358649417681e+05, -3.045294622120872e-02, 6.866697574857397e-04, 4.821534598339890e-04
13755, 3.621426600610000e-01, 1.342114885990000e-02, 6.307057746718077e+05, -3.509818995383928e-02, 6.927360652777677e-04, 4.926401371997562e-04
13756, 3.626299197270000e-01, 1.376991590450000e-02, 6.292451527566257e+05, -4.061400042965098e-02, 7.011087319608452e-04, 5.050083695389980e-04
13757, 3.631150274380000e-01, 1.412154473470000e-02, 6.275062789832229e+05, -4.718058557790558e-02, 7.065336306568377e-04, 5.141151582363134e-04
